montant_xof,heure,type_operation,anciennete_compte_j,nb_tx_24h,fraude
11410,17,paiement,1042,1,0
4510,9,retrait,396,4,0
1810,10,retrait,332,1,0
3970,15,paiement,1313,3,0
4570,17,retrait,921,2,0
4720,12,transfert,1369,2,0
5940,19,paiement,298,7,0
3140,18,paiement,218,3,0
3220,14,transfert,1550,5,0
1050,12,paiement,793,3,0
3170,9,paiement,561,4,0
5280,20,transfert,1699,0,0
6100,15,transfert,1073,3,0
4780,14,paiement,833,4,0
14500,14,paiement,1220,3,0
1140,11,retrait,1606,5,0
590,20,paiement,209,2,0
7310,8,paiement,914,2,0
840,8,paiement,1011,3,0
4880,9,paiement,148,1,0
1740,14,paiement,1622,2,0
2920,12,paiement,400,3,0
7330,14,transfert,958,4,0
22560,14,transfert,163,4,0
5330,18,transfert,1770,3,0
7100,16,paiement,453,2,0
3750,7,paiement,1964,1,0
22530,20,paiement,880,1,0
1600,15,paiement,371,4,0
11520,14,paiement,1614,2,0
2270,10,transfert,840,3,0
2180,12,retrait,638,5,0
7250,11,paiement,824,2,0
2430,17,paiement,1984,4,0
3340,8,retrait,712,5,0
12200,8,paiement,801,2,0
9150,14,paiement,1021,2,0
3340,16,retrait,67,4,0
3190,13,transfert,979,1,0
27470,18,transfert,1639,2,0
20010,6,transfert,719,3,0
1780,8,paiement,1182,1,0
8340,17,transfert,1405,1,0
3820,13,paiement,664,1,0
9350,13,transfert,1518,7,0
37030,3,retrait,904,2,0
3650,15,transfert,1199,1,0
1440,11,paiement,1345,2,0
1190,10,paiement,798,6,0
10080,11,paiement,1142,4,0
5590,7,paiement,52,5,0
1210,16,paiement,876,4,0
15700,19,transfert,52,5,0
3720,5,paiement,1044,2,0
5160,17,transfert,889,3,0
1100,16,paiement,195,1,0
5390,12,paiement,1746,3,0
910,10,transfert,746,3,0
2310,16,paiement,653,3,0
8280,14,transfert,1643,1,0
8380,14,retrait,479,1,0
7110,16,paiement,1023,3,0
6490,15,paiement,1048,5,0
790,12,transfert,678,3,0
2520,13,paiement,1413,3,0
14300,6,transfert,668,2,0
2950,16,transfert,1888,3,0
5670,14,retrait,1728,6,0
5570,14,paiement,1499,4,0
41380,12,paiement,420,5,0
30460,22,paiement,295,2,0
21490,18,paiement,1820,6,0
2000,10,retrait,92,1,0
9220,11,transfert,41,2,0
12720,17,transfert,30,3,0
7280,15,paiement,1485,6,0
4920,10,transfert,1590,3,0
10790,14,retrait,281,2,0
11100,13,paiement,1481,3,0
4570,13,paiement,1007,5,0
340,11,paiement,636,0,0
2340,9,transfert,674,1,0
4360,9,transfert,1384,2,0
2560,12,paiement,640,4,0
3360,14,paiement,853,4,0
3540,18,paiement,1038,8,0
14610,13,transfert,1503,1,0
3270,9,paiement,719,3,0
18130,8,transfert,443,3,0
2480,16,paiement,1625,5,0
29240,12,transfert,1691,1,0
8230,15,transfert,1716,1,0
7930,15,paiement,1713,4,0
93780,16,retrait,1588,3,0
4450,13,transfert,836,2,0
910,18,transfert,1756,6,0
4830,13,paiement,74,3,0
1360,12,transfert,421,3,0
2450,13,transfert,550,5,0
2550,17,retrait,881,4,0
12620,10,paiement,31,2,0
3230,4,paiement,1942,3,0
3670,12,retrait,534,5,0
16800,13,retrait,1853,5,0
2970,12,paiement,603,4,0
3870,10,transfert,115,2,0
400,13,retrait,453,5,0
1240,17,paiement,1102,1,0
1700,15,paiement,1449,3,0
3010,14,paiement,1784,3,0
12260,12,paiement,898,2,0
3050,9,paiement,954,1,0
4770,11,retrait,257,5,0
9570,20,retrait,172,3,0
4870,17,retrait,822,1,0
1240,9,transfert,1493,1,0
1760,14,paiement,1889,3,0
1850,14,transfert,811,2,0
2960,8,paiement,1551,1,0
8770,16,paiement,434,4,0
7180,17,retrait,1452,2,0
2680,19,paiement,1202,1,0
7610,10,paiement,1339,3,0
4850,12,transfert,663,1,0
5690,19,transfert,425,1,0
5420,7,transfert,1891,4,0
9330,10,transfert,926,2,0
8460,14,paiement,1029,2,0
5980,19,paiement,592,4,0
3950,18,transfert,484,5,0
1950,12,paiement,918,2,0
2310,11,paiement,1012,2,0
4050,20,transfert,1479,3,0
4100,20,transfert,1500,2,0
1780,17,transfert,1591,1,0
2480,12,paiement,1543,2,0
6630,8,retrait,319,7,0
1970,11,paiement,1593,5,0
6870,14,transfert,1543,1,0
3600,14,paiement,1042,6,0
8760,21,transfert,1485,3,0
10190,11,retrait,1402,3,0
10150,18,paiement,1003,5,0
3780,15,transfert,1627,4,0
3470,18,transfert,1022,2,0
4670,18,paiement,1134,2,0
1470,12,retrait,373,2,0
2400,14,paiement,763,4,0
5650,12,retrait,1613,2,0
8430,17,transfert,227,3,0
187200,0,retrait,82,9,1
157610,2,retrait,9,11,1
3830,12,paiement,884,4,0
2740,12,paiement,1363,3,0
9370,4,transfert,6,15,1
710,15,transfert,902,8,0
8670,20,paiement,628,6,0
20300,8,paiement,1171,4,0
1690,18,paiement,1179,5,0
10310,9,transfert,384,6,0
9850,20,paiement,93,5,0
5570,16,paiement,97,3,0
7350,14,transfert,1874,3,0
6030,14,paiement,620,2,0
5160,13,retrait,1773,3,0
7540,12,retrait,1087,3,0
7700,12,transfert,1802,3,0
5220,9,transfert,1169,2,0
11460,17,paiement,63,1,0
1480,18,paiement,989,4,0
40550,16,paiement,833,2,0
13190,19,paiement,1125,1,0
10160,9,transfert,1834,1,0
12990,19,paiement,1726,2,0
1430,12,paiement,897,2,0
3250,14,paiement,597,3,0
4620,18,paiement,970,3,0
1900,13,paiement,1626,3,0
1640,5,retrait,939,0,0
480,10,retrait,1098,4,0
7450,12,paiement,320,1,0
29820,14,paiement,938,6,0
7780,13,transfert,1299,9,0
1920,18,paiement,499,6,0
16390,6,transfert,919,2,0
5130,6,paiement,1460,2,0
7860,13,transfert,1847,3,0
2140,9,transfert,1435,4,0
7230,18,transfert,1446,1,0
5490,11,retrait,1182,6,0
3270,14,transfert,1769,5,0
10050,16,paiement,754,2,0
1080,11,retrait,409,4,0
16390,12,paiement,862,2,0
7470,6,paiement,1238,2,0
2580,17,paiement,1486,6,0
1370,14,paiement,1537,4,0
8540,19,paiement,1561,3,0
3880,14,retrait,1123,1,0
3120,14,paiement,1597,0,0
2410,21,paiement,67,2,0
4830,7,retrait,956,4,0
1280,20,transfert,808,2,0
5810,18,retrait,172,2,0
7170,9,transfert,571,3,0
8850,15,paiement,614,7,0
1270,18,paiement,552,3,0
9250,4,transfert,13,19,1
4290,13,transfert,1024,4,0
14090,11,transfert,1157,4,0
4830,11,paiement,525,3,0
1300,18,paiement,47,1,0
5420,8,transfert,617,0,0
12390,11,paiement,922,3,0
2780,6,transfert,1003,7,0
7430,19,paiement,1787,0,0
5520,11,paiement,681,2,0
18100,16,transfert,1813,4,0
18020,6,transfert,1507,2,0
9990,15,paiement,1859,4,0
3620,18,retrait,960,3,0
3500,15,transfert,1262,4,0
4670,10,paiement,440,4,0
8200,15,transfert,1511,1,0
9930,14,retrait,295,2,0
12010,15,transfert,440,3,0
7020,13,paiement,1517,4,0
6070,18,paiement,1871,4,0
4310,18,transfert,304,0,0
2920,15,retrait,453,1,0
22250,4,transfert,14,16,1
3960,10,paiement,1698,2,0
8780,11,retrait,170,0,0
4200,13,paiement,1670,2,0
13420,10,paiement,1798,3,0
4330,15,paiement,1993,2,0
6970,14,transfert,79,4,0
4800,9,paiement,1234,0,0
6040,11,paiement,1668,2,0
14040,10,paiement,1512,0,0
2830,13,paiement,1871,3,0
20060,13,paiement,1780,3,0
830,13,paiement,655,3,0
5040,18,paiement,772,4,0
17190,2,transfert,12,12,1
23000,18,transfert,262,5,0
2660,13,retrait,283,2,0
5290,18,paiement,269,2,0
11480,14,transfert,966,4,0
11330,14,retrait,135,4,0
2570,15,retrait,1224,2,0
650,15,paiement,1255,3,0
2130,14,retrait,767,1,0
28060,14,paiement,590,3,0
15450,7,paiement,160,1,0
50380,15,transfert,1322,3,0
1770,16,retrait,1722,1,0
1280,16,transfert,1201,1,0
8030,12,paiement,1166,4,0
5140,13,transfert,642,3,0
7770,11,paiement,189,6,0
680,13,retrait,356,3,0
14420,17,paiement,1876,6,0
13790,19,transfert,1702,5,0
1790,14,transfert,650,1,0
6810,17,paiement,1039,7,0
4760,17,paiement,1145,3,0
10550,16,retrait,1228,6,0
1390,7,paiement,75,4,0
11680,17,paiement,1726,1,0
4340,12,transfert,1078,3,0
550,17,paiement,288,5,0
5530,17,paiement,1303,2,0
850,12,transfert,1657,5,0
5700,13,transfert,605,3,0
12260,14,retrait,1071,4,0
3610,18,paiement,1707,3,0
3150,10,retrait,1385,5,0
730,12,retrait,1712,0,0
1730,6,retrait,640,4,0
7680,16,paiement,1081,1,0
5840,14,transfert,1882,4,0
24030,17,retrait,208,4,0
2110,15,paiement,1675,3,0
17640,16,retrait,1833,2,0
7270,11,transfert,116,4,0
4290,11,transfert,1832,4,0
7510,19,paiement,1266,3,0
2130,10,retrait,366,3,0
11890,12,transfert,1444,4,0
3740,16,paiement,626,5,0
2660,12,paiement,1139,1,0
9520,7,retrait,1529,3,0
2530,6,transfert,1187,3,0
182960,2,retrait,20,9,1
7290,10,paiement,243,6,0
5530,16,transfert,486,0,0
2940,6,paiement,1678,0,0
2500,16,transfert,645,3,0
11590,12,paiement,1904,2,0
8960,7,transfert,292,3,0
19350,12,paiement,510,6,0
10170,13,paiement,1496,2,0
8330,19,transfert,586,1,0
4830,14,paiement,364,5,0
1730,14,paiement,1765,3,0
510,14,paiement,850,1,0
7490,13,paiement,1522,4,0
2430,12,transfert,45,4,0
890,4,retrait,1783,3,0
15530,13,retrait,846,0,0
7190,9,paiement,817,2,0
4170,13,transfert,692,1,0
1940,16,retrait,145,4,0
2130,18,retrait,1218,3,0
1880,7,transfert,980,4,0
4370,11,paiement,1998,4,0
1580,9,paiement,1208,5,0
7290,17,paiement,455,1,0
25930,16,retrait,194,2,0
4980,17,transfert,1425,3,0
6610,3,retrait,1109,5,0
6120,15,paiement,1701,3,0
2100,13,transfert,573,1,0
3090,15,transfert,1837,3,0
10940,19,transfert,845,0,0
3740,21,retrait,692,4,0
1740,20,retrait,1901,4,0
10160,13,paiement,436,1,0
4210,13,retrait,305,2,0
4540,20,paiement,854,6,0
520,12,retrait,1647,3,0
3990,13,retrait,737,1,0
6140,17,retrait,1997,5,0
11750,6,retrait,1385,0,0
3390,11,retrait,102,2,0
2980,12,paiement,1019,3,0
14180,8,paiement,1154,4,0
4860,9,paiement,710,4,0
2380,20,paiement,823,2,0
59370,12,transfert,838,2,0
2120,16,paiement,966,5,0
960,11,retrait,1633,1,0
3240,12,transfert,1720,3,0
28200,14,paiement,1143,3,0
2480,11,retrait,632,3,0
23210,15,transfert,1343,6,0
4390,8,retrait,473,2,0
1450,8,retrait,1989,2,0
3170,11,transfert,1152,3,0
17490,12,retrait,602,3,0
8530,16,retrait,1080,2,0
11340,14,transfert,1964,2,0
6920,20,paiement,1077,4,0
5120,13,transfert,1974,6,0
4780,18,paiement,364,0,0
3770,12,paiement,1133,2,0
730,13,paiement,162,3,0
2400,20,transfert,1519,3,0
1540,15,retrait,1832,6,0
4790,12,paiement,1388,1,0
1670,12,transfert,849,1,0
3560,11,retrait,1851,3,0
5420,13,retrait,1697,7,0
12490,13,paiement,537,2,0
1890,15,retrait,911,3,0
5360,2,transfert,7,14,1
11020,15,transfert,829,0,0
5050,15,paiement,1095,3,0
18250,14,paiement,1857,3,0
7100,13,retrait,678,5,0
18720,10,paiement,1916,0,0
11590,11,transfert,441,3,0
19070,2,transfert,14,19,1
14170,8,transfert,1506,3,0
25930,17,retrait,873,4,0
11860,13,paiement,1109,0,0
25930,18,paiement,445,1,0
29670,18,transfert,567,1,0
1690,15,paiement,1749,5,0
7380,16,paiement,870,1,0
9950,11,retrait,180,5,0
4170,15,retrait,1350,3,0
3690,10,transfert,1227,4,0
34230,12,paiement,59,1,0
1770,13,transfert,1204,1,0
1860,12,paiement,1267,2,0
7090,16,transfert,743,2,0
15170,18,paiement,1222,2,0
680,19,paiement,1436,5,0
1070,17,paiement,1617,1,0
12390,11,paiement,1532,1,0
950,18,paiement,1245,6,0
3000,13,paiement,415,4,0
9520,8,retrait,249,5,0
13510,16,transfert,1084,4,0
4690,15,transfert,226,2,0
2140,15,retrait,183,5,0
3860,4,retrait,451,4,0
4770,13,paiement,1977,4,0
8160,13,transfert,708,5,0
19970,17,paiement,648,3,0
12500,4,transfert,13,8,1
12160,19,paiement,234,1,0
11120,16,paiement,1394,5,0
2320,15,paiement,132,5,0
18460,13,paiement,1573,2,0
1690,13,retrait,858,7,0
11620,19,paiement,1503,1,0
3660,13,retrait,1761,3,0
3740,10,transfert,1482,0,0
29100,23,transfert,628,2,0
2530,15,paiement,1143,2,0
11950,18,transfert,1410,4,0
13820,14,transfert,401,1,0
242010,1,retrait,88,8,1
1650,14,transfert,335,2,0
18060,13,paiement,1148,3,0
14570,16,paiement,1201,3,0
7070,12,transfert,1105,2,0
3190,19,paiement,60,1,0
15020,14,transfert,667,2,0
3950,16,transfert,1648,3,0
6660,14,paiement,952,1,0
1380,10,paiement,740,3,0
3720,17,paiement,1795,5,0
4400,15,transfert,825,2,0
13180,20,transfert,613,3,0
12190,2,transfert,5,17,1
12780,19,retrait,1184,4,0
4150,14,transfert,286,3,0
3870,13,transfert,794,4,0
2320,11,transfert,1897,5,0
2950,21,transfert,1128,3,0
35470,9,retrait,1736,2,0
7510,12,transfert,190,1,0
8830,15,retrait,427,2,0
20540,16,paiement,86,1,0
9240,10,retrait,841,6,0
8780,10,retrait,807,2,0
9860,10,paiement,1092,5,0
7680,16,paiement,232,1,0
4300,12,transfert,609,5,0
10310,14,transfert,370,6,0
6130,12,retrait,299,4,0
7740,11,paiement,676,1,0
1940,14,paiement,172,2,0
6300,16,retrait,1628,3,0
1820,15,paiement,952,5,0
3600,13,transfert,375,1,0
11960,15,paiement,1752,2,0
25950,8,transfert,1105,4,0
3310,9,paiement,856,4,0
3430,11,transfert,1604,0,0
740,11,paiement,373,7,0
5620,12,paiement,1639,3,0
9220,7,paiement,139,0,0
7520,3,paiement,1115,3,0
4650,13,paiement,724,2,0
8630,14,paiement,408,4,0
5730,13,retrait,195,2,0
770,15,paiement,1606,3,0
530,16,transfert,1564,2,0
8740,15,paiement,178,5,0
6090,19,paiement,254,1,0
6060,22,paiement,1957,1,0
18200,21,retrait,1579,5,0
19240,7,paiement,1027,4,0
11010,3,transfert,1607,4,0
2710,14,paiement,592,2,0
2200,9,transfert,455,2,0
1270,17,paiement,1422,4,0
3190,16,paiement,497,3,0
3690,14,paiement,361,3,0
9110,12,retrait,42,1,0
2390,14,paiement,785,4,0
6230,8,transfert,1486,5,0
12560,14,retrait,1360,1,0
3010,11,paiement,630,2,0
7220,21,paiement,1279,7,0
4980,15,retrait,832,2,0
2950,17,transfert,597,3,0
10390,14,transfert,825,5,0
2450,11,paiement,1412,1,0
1580,12,paiement,364,3,0
3280,5,paiement,623,4,0
5580,7,paiement,889,5,0
2100,14,paiement,367,4,0
24120,9,retrait,1877,0,0
2400,8,paiement,251,6,0
210370,3,transfert,16,6,1
40710,17,transfert,225,1,0
6220,8,transfert,1078,3,0
3220,19,paiement,956,1,0
5000,8,retrait,494,5,0
13900,14,retrait,1031,2,0
15450,14,transfert,1835,4,0
4740,11,paiement,1340,6,0
21050,11,paiement,562,0,0
7620,14,paiement,1396,3,0
12700,17,transfert,692,2,0
850,11,paiement,446,1,0
2350,18,transfert,1442,2,0
3140,10,paiement,1214,4,0
1470,16,transfert,1915,3,0
5510,10,paiement,667,4,0
5810,8,retrait,1243,5,0
7650,9,transfert,233,3,0
10360,6,paiement,1328,1,0
6040,13,paiement,643,5,0
12550,12,paiement,637,4,0
11440,14,paiement,1739,1,0
3470,16,paiement,781,2,0
6290,12,retrait,968,2,0
38950,8,retrait,1940,2,0
3190,20,paiement,637,3,0
1760,11,retrait,138,2,0
1650,19,paiement,555,3,0
3820,12,paiement,307,2,0
6650,16,retrait,463,6,0
5790,6,paiement,1921,4,0
5790,15,paiement,1779,3,0
10970,14,paiement,858,1,0
15830,11,transfert,1174,3,0
1300,16,paiement,958,0,0
2650,21,retrait,1398,0,0
5500,13,retrait,1076,4,0
23940,12,paiement,1857,1,0
9000,9,paiement,140,3,0
4330,0,retrait,1502,1,0
9910,13,paiement,561,2,0
13260,14,retrait,585,1,0
1100,8,paiement,937,4,0
3970,15,transfert,1177,2,0
16650,14,paiement,1611,3,0
4170,11,transfert,1125,2,0
5120,16,transfert,1568,4,0
8730,11,paiement,72,2,0
3320,8,retrait,1761,3,0
4380,8,paiement,66,2,0
19560,5,retrait,672,2,0
3730,13,paiement,981,4,0
15200,19,retrait,1511,4,0
30010,17,transfert,1446,4,0
15990,2,transfert,11,14,1
2850,11,paiement,444,3,0
7590,18,paiement,1255,1,0
3860,14,transfert,623,2,0
13580,13,paiement,746,5,0
4440,14,retrait,877,6,0
9840,2,transfert,3,11,1
2970,12,paiement,1503,1,0
3080,16,paiement,700,4,0
3560,15,retrait,566,2,0
13990,17,paiement,185,2,0
960,17,retrait,392,1,0
4700,19,paiement,1197,5,0
4330,16,transfert,1587,2,0
2050,10,paiement,1426,2,0
9280,8,transfert,1756,6,0
17750,13,paiement,810,2,0
6620,9,paiement,540,2,0
19880,7,paiement,996,1,0
1960,12,transfert,1986,6,0
2450,11,paiement,288,3,0
6150,14,paiement,592,3,0
1800,9,paiement,1773,5,0
12450,8,retrait,822,1,0
6730,14,paiement,948,2,0
8710,9,transfert,1684,5,0
3570,11,retrait,1248,4,0
8160,12,paiement,1173,7,0
2880,12,transfert,394,0,0
6590,18,paiement,1791,2,0
13360,17,paiement,1727,1,0
2690,11,retrait,183,9,0
1480,19,paiement,1167,1,0
1340,14,transfert,1537,4,0
178310,0,retrait,75,10,1
10740,21,paiement,426,1,0
5140,12,paiement,595,4,0
10650,16,retrait,1865,3,0
8280,14,paiement,1390,3,0
1580,14,paiement,1223,2,0
2400,6,transfert,1730,1,0
21010,5,retrait,1610,2,0
14540,18,paiement,680,2,0
31990,12,paiement,1686,3,0
2180,11,paiement,511,4,0
1640,9,paiement,1271,2,0
2150,17,transfert,1162,1,0
6020,19,paiement,278,5,0
3640,15,paiement,1458,0,0
1800,16,paiement,987,1,0
4660,10,paiement,307,2,0
1300,13,paiement,1519,2,0
3760,10,paiement,538,4,0
47880,16,paiement,1946,2,0
6060,12,paiement,1685,6,0
7180,13,paiement,717,1,0
5220,9,retrait,108,7,0
4860,9,paiement,1425,2,0
1270,14,paiement,1159,3,0
21150,10,paiement,1915,0,0
5190,17,paiement,1143,8,0
13560,18,paiement,1164,4,0
1330,13,retrait,1768,1,0
2060,16,transfert,868,5,0
9980,11,paiement,249,4,0
2690,5,paiement,790,7,0
5950,9,transfert,1089,4,0
1750,12,paiement,473,3,0
4160,9,paiement,1011,8,0
23560,3,transfert,1,13,1
12630,12,retrait,272,5,0
5390,14,transfert,932,0,0
12080,18,transfert,1449,5,0
2770,17,transfert,904,0,0
6930,18,transfert,1890,1,0
3190,19,retrait,1878,0,0
3070,18,paiement,1576,2,0
1370,14,paiement,1205,7,0
5870,14,paiement,1302,3,0
1980,13,paiement,1369,2,0
2680,13,transfert,193,3,0
38780,13,paiement,47,2,0
2970,5,paiement,1268,0,0
860,10,paiement,1613,4,0
3960,13,transfert,1288,3,0
3370,14,retrait,746,3,0
9070,14,paiement,1540,1,0
28420,14,paiement,1616,3,0
5530,12,retrait,1826,2,0
1600,11,paiement,1244,6,0
220520,0,retrait,81,18,1
11080,12,paiement,153,3,0
2130,18,paiement,954,4,0
1800,13,transfert,1552,4,0
1540,17,paiement,1697,4,0
1120,22,transfert,257,5,0
16180,9,paiement,870,5,0
3620,12,paiement,383,1,0
4510,11,retrait,295,6,0
1570,12,paiement,625,1,0
6900,3,paiement,1929,2,0
3240,16,paiement,70,3,0
2310,15,paiement,671,1,0
1500,18,paiement,1344,3,0
1830,10,transfert,64,5,0
1090,11,retrait,257,3,0
13650,3,transfert,5,15,1
3650,15,retrait,442,2,0
18470,15,paiement,826,0,0
8150,6,retrait,632,0,0
3600,9,retrait,1619,2,0
26070,20,paiement,724,3,0
5350,15,transfert,1079,3,0
3270,19,retrait,710,3,0
5310,10,transfert,240,3,0
1440,14,paiement,878,4,0
6490,18,paiement,998,2,0
7890,16,paiement,571,1,0
6430,13,transfert,1117,3,0
22840,10,retrait,1664,7,0
52320,20,paiement,925,3,0
4600,15,retrait,474,4,0
2070,15,paiement,1361,1,0
3830,16,transfert,461,5,0
12000,13,paiement,1865,3,0
9840,14,transfert,1141,4,0
3670,16,paiement,1199,1,0
10010,12,transfert,1302,3,0
2250,12,paiement,488,4,0
3170,12,retrait,422,2,0
1060,18,paiement,175,2,0
2230,11,paiement,1142,1,0
2970,9,paiement,1184,2,0
7960,9,paiement,605,3,0
7250,13,paiement,1570,3,0
20180,21,paiement,520,1,0
2500,10,transfert,1176,7,0
39470,14,paiement,854,0,0
2380,21,retrait,685,3,0
8710,13,transfert,342,6,0
10030,12,transfert,1708,2,0
12130,2,transfert,1688,2,0
2680,0,transfert,420,3,0
1840,12,retrait,420,4,0
4310,13,paiement,1430,5,0
5390,10,paiement,564,4,0
8700,15,paiement,199,1,0
12960,9,paiement,401,1,0
14120,16,paiement,1271,1,0
13150,13,paiement,55,1,0
8010,11,transfert,1400,3,0
1830,19,paiement,578,2,0
12700,14,paiement,1857,2,0
28540,19,paiement,180,2,0
7020,12,paiement,1066,2,0
4800,10,paiement,545,3,0
3610,9,paiement,898,3,0
12080,17,paiement,1798,5,0
3740,14,paiement,1847,2,0
4240,11,paiement,1205,4,0
7480,13,transfert,650,2,0
2690,19,retrait,792,6,0
6750,20,transfert,357,2,0
9780,17,paiement,430,6,0
4700,12,paiement,339,4,0
8990,12,paiement,1617,2,0
7270,18,paiement,1943,4,0
10440,3,transfert,796,12,0
4350,15,paiement,673,5,0
1920,14,paiement,1317,3,0
10260,16,paiement,809,5,0
2980,10,transfert,769,2,0
3150,4,retrait,708,4,0
12340,12,paiement,1276,4,0
1620,9,transfert,408,2,0
4550,12,paiement,985,3,0
5080,12,paiement,575,2,0
810,12,transfert,62,3,0
4680,13,retrait,73,3,0
2280,15,transfert,1958,3,0
30620,12,transfert,1974,3,0
4540,9,transfert,581,5,0
7320,14,transfert,1181,3,0
6930,23,paiement,314,2,0
4640,19,paiement,260,4,0
5530,8,paiement,274,1,0
236890,1,retrait,43,9,1
9230,10,retrait,1143,1,0
10110,8,retrait,1203,2,0
5150,9,transfert,931,2,0
11220,6,paiement,1977,2,0
1580,14,retrait,756,7,0
2720,14,transfert,192,4,0
18640,17,transfert,1635,2,0
1410,13,transfert,832,3,0
1960,19,retrait,1335,4,0
6500,14,transfert,946,1,0
39010,10,paiement,1979,3,0
6100,21,transfert,202,3,0
11310,8,transfert,1204,2,0
10240,18,transfert,510,0,0
850,13,paiement,153,7,0
2630,10,paiement,1044,1,0
5850,18,retrait,415,2,0
8870,17,retrait,814,2,0
3240,8,paiement,92,4,0
2440,16,paiement,1934,3,0
13590,18,transfert,1140,4,0
880,7,retrait,1616,6,0
7130,13,transfert,832,0,0
3910,20,paiement,1797,4,0
9710,11,paiement,1466,3,0
2740,12,paiement,776,3,0
5610,11,transfert,419,6,0
9950,17,transfert,1862,1,0
7980,10,transfert,193,5,0
4000,10,paiement,445,2,0
2390,14,retrait,225,1,0
16350,10,paiement,169,3,0
2560,20,paiement,1525,5,0
2320,6,paiement,1433,5,0
4700,11,retrait,646,5,0
223150,2,retrait,63,15,1
3720,20,paiement,1549,0,0
3910,16,paiement,488,3,0
2660,19,transfert,669,4,0
5790,15,paiement,1240,5,0
3040,10,transfert,1472,5,0
2230,11,paiement,1310,4,0
3360,12,retrait,1011,4,0
4120,8,transfert,698,1,0
6130,6,transfert,1003,2,0
3590,11,retrait,673,4,0
4940,15,paiement,123,4,0
23780,10,paiement,1268,4,0
450,13,paiement,352,4,0
1970,13,transfert,781,3,0
1450,16,paiement,1915,1,0
1010,17,paiement,905,2,0
2670,7,transfert,613,2,0
4780,13,paiement,312,1,0
13200,6,transfert,1492,2,0
3360,12,paiement,1873,1,0
3340,11,paiement,1893,1,0
2940,20,paiement,466,3,0
7520,8,paiement,97,3,0
12680,15,paiement,503,4,0
39120,23,paiement,1039,4,0
6090,21,paiement,413,2,0
20820,18,paiement,930,4,0
4040,10,transfert,45,3,0
4420,11,retrait,1545,4,0
1690,14,transfert,103,2,0
9380,12,paiement,1458,0,0
3300,18,retrait,1931,4,0
1850,11,paiement,1252,4,0
2200,12,paiement,1784,2,0
10240,20,retrait,1641,4,0
5360,9,transfert,1150,2,0
13750,13,transfert,1457,2,0
740,4,paiement,1860,4,0
9570,10,transfert,1087,2,0
2030,13,transfert,633,3,0
3860,13,paiement,1703,4,0
5890,15,paiement,805,1,0
30310,16,paiement,347,0,0
1580,16,paiement,1608,2,0
6510,18,transfert,1724,2,0
6720,16,paiement,272,3,0
5830,15,transfert,322,3,0
1560,14,transfert,549,3,0
5400,12,paiement,1024,4,0
6950,13,paiement,958,6,0
11390,19,retrait,1924,2,0
4770,14,paiement,1710,3,0
17350,9,paiement,669,3,0
12960,20,paiement,765,1,0
3160,18,transfert,1866,2,0
5550,18,transfert,1818,8,0
10730,17,paiement,1809,1,0
1670,18,transfert,794,0,0
3820,15,paiement,1373,5,0
3980,13,paiement,55,3,0
15280,11,paiement,1732,1,0
9820,14,paiement,1214,4,0
11930,4,transfert,5,15,1
5720,3,transfert,10,15,1
8040,13,paiement,561,3,0
11450,12,paiement,383,0,0
8040,13,paiement,782,0,0
4320,14,paiement,270,2,0
1180,15,paiement,1287,3,0
7620,12,paiement,790,1,0
9630,12,transfert,748,2,0
10190,7,paiement,1026,7,0
3810,15,paiement,1088,6,0
6700,14,paiement,641,1,0
2380,12,paiement,911,2,0
5130,23,transfert,337,3,0
7240,19,paiement,685,7,0
6230,18,retrait,984,4,0
2670,15,transfert,448,1,0
9550,7,retrait,1311,3,0
4170,19,paiement,1813,3,0
1390,15,paiement,935,3,0
1730,10,paiement,1925,5,0
7370,15,transfert,64,4,0
7400,5,retrait,1069,2,0
7860,14,transfert,176,1,0
6530,12,paiement,32,3,0
3220,11,paiement,625,3,0
2340,14,paiement,889,8,0
1920,18,paiement,118,1,0
8210,9,paiement,400,4,0
1690,11,transfert,1403,3,0
13290,7,paiement,1306,3,0
16840,12,paiement,1630,4,0
12570,15,paiement,376,5,0
7840,10,paiement,1049,0,0
6990,18,transfert,1059,5,0
5220,19,retrait,1009,6,0
7070,4,retrait,1466,3,0
1850,11,paiement,144,3,0
1320,14,transfert,1454,3,0
8120,18,paiement,1855,2,0
3390,17,paiement,1264,5,0
8470,15,paiement,937,1,0
8340,11,paiement,1990,1,0
4010,18,paiement,1753,4,0
3250,11,retrait,327,5,0
12840,11,transfert,1168,3,0
4120,10,retrait,818,2,0
9800,7,paiement,1110,3,0
5900,10,paiement,595,1,0
2640,14,transfert,993,3,0
5040,16,retrait,1521,4,0
2250,13,transfert,1379,2,0
3880,15,retrait,1553,3,0
13190,10,paiement,1809,1,0
3050,15,retrait,1074,5,0
6780,11,paiement,229,6,0
2510,14,paiement,1146,5,0
7170,19,transfert,568,5,0
1270,18,transfert,1181,4,0
4040,7,retrait,187,2,0
5000,11,paiement,170,6,0
29050,14,retrait,494,2,0
4270,20,paiement,756,3,0
8690,13,paiement,1541,8,0
4640,18,transfert,186,4,0
2000,16,transfert,1191,2,0
2940,14,retrait,1004,3,0
8040,8,retrait,682,1,0
7780,12,paiement,93,2,0
1800,11,transfert,1089,2,0
6410,22,retrait,621,2,0
39350,14,transfert,743,5,0
6060,10,retrait,1233,3,0
6210,7,transfert,1764,2,0
8870,10,paiement,209,2,0
